order_id,products
1654153,30233 33827 39046 44678 19086 47766 35102 18721 39201 13176 35199 5077 6631 13806
1572866,27521 47626 37646 7054 22963 19660 27086 32227 47209
1703943,37710
1703945,11520 44306 40311 4605
3276811,5406 18339 32299 28204 3161 8153 40545 9076
131084,45066 21903 47890 47900 18465 21295 18883 21709 44632 13176
3145741,9358 16797 21292 12341 35652 33768 8048 4724
655374,30252 19511 30949 24852 38689
1331179,24852 1069 23909
2621456,40709 48015 9623 15902 27038 25001 47866 43580 25408 40772 26698 6489 38747 36316 11869 32096 46049 7781 47977 24186
17,13107
1310738,39877 39216 21137 14897 22935 31640
262165,1408
2490390,45066 30630 23511 9847
2752535,11777 17794 17284 39558 21903 30233 31915 27845 6740 34005 41950 26604 44910 48628 13176
1835032,30233 17044 27845 24852 22825 13176 7090 46584
1572891,45446 37646 23953 11821 9018 25406 43500 13176
1703965,20015 9348 27845 33000 11520 24852 17191 34244
498425,None
1966112,None
2621473,40604 22963 15290 45007 47209 13176 24830
34,39180 21137 47766 2596 47792 39475 16083 43504 13176
1835044,39475 49235 32857 27845 5876 3957
786469,24852 13219 45005 9454 39408
3276838,45977 14761 44860 35042
262183,24852 34969 41787 31683 42697 8424 44144
2621481,48903 43154 24852 39581 28204 40772 21572 10310 23909 39921 34047
3407914,33303 44632 47209 27247 39275 45437 38312 41950
3276844,25346 47630 21903 5646 21137 47766 6297 42265 21150 33957 37935 28985 27966 5575 19660 40396 12384 48628 13176
3276846,11422 10798 39090 44359 34126 13166 13176
3145779,17545 47766 26857 23288
1179700,26209 33198
3014711,22170 19677 13176
131129,None
2359355,8467 24852 19348 34217 49075 28985 39877 21616 4605
196618,15902 48205 47242 24830 44860 48462 39275 16797
2664959,37508 24852 14233 26165 44473 25146 42450 12384
786496,34325 31770 11447 41665 11980 20178 43760 42768 11068 7503 18829 26032 40397
1048642,21137 29447
786443,16234
1704004,11520 4357 14233 22367 13176
1572933,48163
3014726,24852
3145799,9839 8048 42265
2883656,24852
1704009,38928 16797 29223 21288 41400 196 46149 19660 37710 14414 43352 46562 26348
2950418,47626 27020 581 4562 20463 4605
1966155,34487 42736
357893,14833 32250
131149,30820 47626 8859
432090,16797 26709 1649 9076 5240 28157
1441873,47626 21137 23315 11543 30776 44017
3014739,45066 20119 41149 33731 34243 1999 44765
3276889,24964 781 42265 49235 33000 7273 26620
786522,21137 14233 30635
1636698,None
2621535,44632
1310817,24838 9351 37766 24852 39877 21709 9550 38739
