key_id,max_floor_avg_100,max_floor_avg_250,max_floor_avg_500,max_floor_avg_1000,max_floor_avg_2000,max_floor_avg_5000,max_floor_max_100,max_floor_max_250,max_floor_max_500,max_floor_max_1000,max_floor_max_2000,max_floor_max_5000,max_floor_min_100,max_floor_min_250,max_floor_min_500,max_floor_min_1000,max_floor_min_2000,max_floor_min_5000,max_floor_med_100,max_floor_med_250,max_floor_med_500,max_floor_med_1000,max_floor_med_2000,max_floor_med_5000,max_floor_mod_100,max_floor_mod_250,max_floor_mod_500,max_floor_mod_1000,max_floor_mod_2000,max_floor_mod_5000,max_floor_sd_100,max_floor_sd_250,max_floor_sd_500,max_floor_sd_1000,max_floor_sd_2000,max_floor_sd_5000,max_floor_NA_100,max_floor_NA_250,max_floor_NA_500,max_floor_NA_1000,max_floor_NA_2000,max_floor_NA_5000,build_year_avg_100,build_year_avg_250,build_year_avg_500,build_year_avg_1000,build_year_avg_2000,build_year_avg_5000,build_year_max_100,build_year_max_250,build_year_max_500,build_year_max_1000,build_year_max_2000,build_year_max_5000,build_year_min_100,build_year_min_250,build_year_min_500,build_year_min_1000,build_year_min_2000,build_year_min_5000,build_year_med_100,build_year_med_250,build_year_med_500,build_year_med_1000,build_year_med_2000,build_year_med_5000,build_year_mod_100,build_year_mod_250,build_year_mod_500,build_year_mod_1000,build_year_mod_2000,build_year_mod_5000,build_year_sd_100,build_year_sd_250,build_year_sd_500,build_year_sd_1000,build_year_sd_2000,build_year_sd_5000,build_year_NA_100,build_year_NA_250,build_year_NA_500,build_year_NA_1000,build_year_NA_2000,build_year_NA_5000,full_sq_avg_100,full_sq_avg_250,full_sq_avg_500,full_sq_avg_1000,full_sq_avg_2000,full_sq_avg_5000,full_sq_max_100,full_sq_max_250,full_sq_max_500,full_sq_max_1000,full_sq_max_2000,full_sq_max_5000,full_sq_min_100,full_sq_min_250,full_sq_min_500,full_sq_min_1000,full_sq_min_2000,full_sq_min_5000,full_sq_med_100,full_sq_med_250,full_sq_med_500,full_sq_med_1000,full_sq_med_2000,full_sq_med_5000,full_sq_mod_100,full_sq_mod_250,full_sq_mod_500,full_sq_mod_1000,full_sq_mod_2000,full_sq_mod_5000,full_sq_sd_100,full_sq_sd_250,full_sq_sd_500,full_sq_sd_1000,full_sq_sd_2000,full_sq_sd_5000,full_sq_NA_100,full_sq_NA_250,full_sq_NA_500,full_sq_NA_1000,full_sq_NA_2000,full_sq_NA_5000,count.clean_100,count.clean_250,count.clean_500,count.clean_1000,count.clean_2000,count.clean_5000,count.all_100,count.all_250,count.all_500,count.all_1000,count.all_2000,count.all_5000
6,12,11,14.2857142857143,12.36,13.2173913043478,13.4478330658106,12,12,17,17,22,32,12,9,9,9,9,2,12,12,16,12,12,12,12,12,17,12,12,12,NA,1.73205080756888,3.25137333621173,2.52141845404688,3.61601567449286,4.21091612095671,0,0,2,14,77,421,1977,1977,1988,1978.9387755102,1978.5,1984.01963993453,1977,1977,2002,2002,2013,2018,1977,1977,1977,1974,1974,1957,1977,1977,1979,1977,1977,1979,1977,1977,1989.5,1975,1974,1975,NA,0,13.114877048604,6.53327432987378,5.74317540608155,14.2149616257864,0,0,2,15,78,445,61,55.0333333333333,45.1222222222222,48.690625,50.4839393939394,50.3023095380924,61,61,61,100.1,100.1,219.6,61,52,32,32,30,10,61,52.1,46,51.5,51.8,47,61,52.05,38,46.690625,44.2860606060606,39.2190527577938,NA,5.16752681012236,9.60647929495736,12.4593016027613,13.9356865024364,15.6676252481777,0,0,0,0,0,0,1,3,9,64,330,1667,1,5,17,166,898,8271
18,17,14,12.25,12.4677419354839,12.9831932773109,13.2558139534884,17,17,17,17,22,32,17,9,9,9,9,3,17,14.5,12,12,12,12,17,17,12,12,12,12,0,3.46410161513775,3,2.50715528127838,3.60726691139999,4.10040472387157,1,1,6,15,72,428,2002,1989.33333333333,1981.1875,1979.04918032787,1978.45569620253,1982.65640194489,2002,2002,2002,2013,2013,2016,2002,1976,1975,1974,1974,1942,2002,1989.5,1977,1977,1977,1978,2002,2002,1977,1975,1974,1975,0,13.8804418757713,10.3808718323655,7.46865947255194,5.64139693382261,13.2605163220074,1,1,6,16,73,441,43,45.9428571428571,43.4409090909091,48.6961038961039,50.3887096774194,50.2180059701493,51,52.1,65,100.1,100.1,219.6,37,37,32,32,30,10,42,46,39,48,51,47,37.5,50.275,35.2727272727273,46.0384615384615,44.4361290322581,39.2158114558473,6.68331255192114,6.36968265636972,10.2227411798126,12.7526100688452,14.0127739324209,15.5544952443279,0,0,0,0,0,0,4,7,22,77,310,1675,10,15,54,179,840,5883
19,10.5,14,13.1333333333333,12.2769230769231,13.136,13.3371428571429,12,17,17,17,22,32,9,9,9,9,9,3,10.5,14.5,12,12,12,12,10.5,17,12,12,12,12,2.12132034355964,3.46410161513775,2.74815955730029,2.54649079806219,3.61354880135291,4.12228916669564,0,2,4,16,75,421,1977,1989.5,1982.4,1978.8125,1978.51004016064,1983.06105610561,1977,2002,2002,2013,2013,2016,1977,1977,1975,1974,1974,1942,1977,1989.5,1977,1977,1977,1979,1977,1989.5,1977,1975,1974,1975,0,13.6930639376292,10.2803557470408,7.35899190818701,5.78660330599578,13.4029059375478,0,2,4,17,76,434,52.05,46.1375,43.4315789473684,48.7222222222222,50.7784615384615,50.2039246658566,52.1,61,65,100.1,100.1,219.6,52,32,32,32,30,10,52.05,48.5,39,48,52,47,52,50.275,36.15,46.2682926829268,44.678527607362,39.134447144593,0.0707106781186558,9.73989402993101,9.70275176498222,12.6084892037072,14.0477964124479,15.5865177350283,0,0,0,0,0,0,2,8,19,81,325,1646,4,16,41,205,887,5846
27,12,10.875,11.4444444444444,12.075,12.2019704433498,13.1357466063348,12,12,15,17,22,32,12,9,9,9,9,3,12,12,12,12,12,12,12,12,12,12,12,12,0,1.5526475085203,1.75640750404382,2.59393157439787,2.90843703715966,4.17933511105058,0,3,9,18,61,470,1977.25,1976.25,1978.33333333333,1979.73076923077,1978.40594059406,1982.52539802881,1978,1978,2013,2013,2013,2016,1977,1975,1975,1974,1968,1942,1977,1976.5,1976.5,1978,1976,1978,1977,1976,1977,1977,1974,1975,0.5,1.16496474502144,8.69753176616961,6.4196797203823,6.57248632361189,13.537586051049,0,3,9,20,62,477,51.75,46.9090909090909,47.1703703703704,47.0163265306122,49.4026515151515,50.2466035634744,63,64,90,100.1,100.1,219.6,39,32,32,32,30,10,52.5,44,45,45,47,47,52.5,37.3333333333333,39.3928571428571,36.9673469387755,38.8356060606061,39.1502227171492,9.84462628374824,12.0121150964728,13.6332121282724,12.7764739814016,13.4517597678326,15.6587995192917,0,0,0,0,0,0,4,11,27,98,264,1796,16,35,67,242,704,6530
35,12,12.25,11.4117647058824,11.425,12.7079646017699,12.884110787172,12,14,14,16,22,32,12,12,9,9,9,3,12,12,12,12,12,12,12,12,12,12,12,12,0,0.707106781186548,1.46025783380075,2.13502537065332,2.92173895230359,4.19896948345032,1,1,4,10,63,504,1981.33333333333,1980.75,1979.875,1979.79487179487,1982,1982.30412744388,1982,1982,1982,2013,2014,2018,1981,1977,1976,1976,1966,1942,1981,1981,1981,1978,1977,1978,1981,1981,1982,1977,1975.5,1975,0.577350269189626,1.58113883008419,2.60448331408234,5.90797626398097,13.5280852639644,14.4083879171874,1,1,5,11,68,495,52.55,52.0888888888889,51.6428571428571,49.994,48.3574394463668,50.370026652452,53.9,53.9,65,90,100.1,134,52,46,35,35,21,10,52.15,53,53,52,45,47,52,53.3,52.7090909090909,57.66,37.9979310344828,39.7827825159915,0.911043357914429,2.37668069187073,8.6915804908297,12.0656775818934,13.7606583066331,15.4957103001429,0,0,0,0,0,0,4,9,21,50,289,1876,8,19,49,130,735,7780
42,12,10.8888888888889,11.5769230769231,11.6481481481481,12.3799126637555,13.054441260745,12,14,16,16,22,32,12,9,9,9,9,3,12,12,12,12,12,12,12,10.5,12,12,12,12,NA,1.90029237516523,2.30083596847888,2.3161240183125,2.77674206284397,4.22196530229128,1,1,6,15,65,510,NA,1978,1979.16,1979.18867924528,1980.11555555556,1982.80711743772,-Inf,1981,1982,2013,2013,2018,Inf,1976,1976,1975,1966,1942,NA,1976.5,1980,1978,1977,1978,NA,1976,1979.5,1977,1974,1975,NA,2.50713268211203,2.46102959483763,5.29897161203359,11.376078354607,14.4182223068998,2,2,7,16,69,501,46,45.06,50.240625,48.1536231884058,48.4119047619048,50.4162486883526,51,53.6,65,90,100.1,134,41,35,35,32,32,10,46,46,52.65,48,45,47,41,49.8,56.1125,38.14,38.1768707482993,41.7739034627492,7.07106781186548,7.58598122269698,10.2654088545763,11.9198744035792,12.7842704564448,15.4466051427072,0,0,0,0,0,0,2,10,32,69,294,1906,4,24,78,179,800,7938
50,14,11.5,11.32,12.2537313432836,12.0814479638009,13.1262208865515,14,14,16,17,22,32,14,9,9,9,9,3,14,11.5,12,12,12,12,14,11.5,9,12,12,12,NA,3.53553390593274,2.59358182185692,2.65913681359133,2.7423728417124,4.12153658577286,0,1,8,16,56,478,1977,1976.5,1978.375,1980.36363636364,1979.06880733945,1982.63704819277,1977,1977,2013,2013,2013,2017,1977,1976,1975,1975,1966,1942,1977,1976.5,1977,1979,1976,1978,1977,1976.5,1977,1977,1974,1975,NA,0.707106781186548,7.51122348628168,6.75878087239991,9.28106140886662,13.7255655944812,0,1,9,17,59,481,41,50.6666666666667,47.9454545454545,47.2168674698795,48.2924187725632,50.271824212272,41,65,90,90,100.1,134,41,41,32,32,30,10,41,46,45,46,46,47,41,43.5,39.1294117647059,37.8904761904762,38.5669064748201,39.1560883977901,NA,12.6622799421484,13.3916273028405,11.5115511370007,12.1220206379025,15.2834247326896,0,0,0,0,0,0,1,3,33,83,277,1809,1,3,89,211,737,6605
57,14,12.25,11.5769230769231,11.2391304347826,12.5422222222222,12.9706933523946,14,14,16,16,22,32,14,12,9,9,9,3,14,12,12,12,12,12,14,12,12,12,12,12,NA,0.707106781186548,2.30083596847888,2.11013198753796,2.89075565449041,4.1890072119342,0,1,6,14,62,517,1977,1980.57142857143,1979.16,1979.24444444444,1980.98636363636,1982.640625,1977,1982,1982,2013,2014,2018,1977,1977,1976,1975,1966,1942,1977,1981,1980,1978,1977,1978,1977,1981,1979.5,1977,1974,1975,NA,1.61834718742537,2.46102959483763,5.68553010063728,12.0983336131137,14.3998182747852,0,2,7,15,67,508,46,50.7222222222222,50.240625,48.2616666666667,48.5059233449477,50.3660073068894,46,53.9,65,90,100.1,134,46,41,35,32,32,10,46,53,52.65,47,45,47,46,53.3,56.1125,37.9966666666667,38.1173611111111,39.1981732776618,NA,4.36571236391547,10.2654088545763,12.1405203538924,13.1302325474208,15.5197145265241,0,0,0,0,0,0,1,9,32,60,287,1916,1,19,78,154,757,7970
58,12,11,12.1904761904762,11.92,12.5333333333333,13.1614384085692,12,12,17,17,22,32,12,9,9,9,9,3,12,12,12,12,12,12,12,12,12,9,12,12,0,1.47709789175199,2.60036627456687,2.76933009754872,3.37473491191202,4.16715595352935,2,5,7,19,66,450,1977,1976.33333333333,1980.14285714286,1979,1978.27272727273,1982.49228395062,1977,1978,2002,2013,2013,2016,1977,1975,1975,1974,1974,1942,1977,1977,1977,1977,1977,1978,1977,1977,1977,1977,1974,1975,0,1.07308673997732,9.19937886101945,6.76592771006148,5.78935302012309,13.3474484666938,2,5,7,21,67,461,46.82,44.5352941176471,44.6678571428571,46.3627659574468,49.6307971014493,50.2317359134889,65,65,65,100.1,100.1,219.6,39,32,32,32,30,10,39,39,41.5,43.5,47,47,39,35.7777777777778,36.1428571428571,36.3489361702128,38.7905797101449,39.134755403868,11.6388143726069,11.1235640183616,10.2161474789751,12.6706076272434,13.7875580571942,15.5975908754937,0,0,0,0,0,0,5,17,28,94,276,1757,17,53,74,236,750,6267
63,17,13.3333333333333,12.3636363636364,12.4126984126984,12.9184549356223,13.2766295707472,17,17,17,17,22,32,17,9,9,9,9,3,17,12,12,12,12,12,17,12,12,12,12,12,0,2.91547594742265,2.66450128533786,2.52493960729387,3.6183504074995,4.11564461006878,1,3,7,16,71,434,2002,1985.22222222222,1980.22727272727,1978.96774193548,1978.45689655172,1982.73895582329,2002,2002,2002,2013,2013,2016,2002,1976,1975,1974,1974,1942,2002,1977,1977,1977,1977,1978,2002,1977,1977,1975,1974,1975,0,12.5874717256661,8.9598672299996,7.43489279567168,5.69938439962657,13.2712294480639,1,3,7,17,72,447,43,46.3083333333333,44.1275862068966,48.273417721519,50.3631578947368,50.283841607565,51,65,65,100.1,100.1,219.6,37,37,32,32,30,10,42,45.75,39,46,51,47,37.5,49.7833333333333,35.8666666666667,38.225,44.475,39.2109338061466,6.68331255192114,8.46129780861427,10.1118705543719,12.8617970278189,13.9575863148814,15.5733298462857,0,0,0,0,0,0,4,12,29,79,304,1692,10,32,75,183,832,5936
